date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:59:59	533498/533498	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2003:59:58%20GMT	https://www.classcentral.com/help	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/help.html	(from https://www.classcentral.com/)
04:00:00	4694/4694	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2003:59:59%20GMT	https://www.classcentral.com/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/cdn-cgi/l/email-protection.html	(from https://www.classcentral.com/)
04:00:01	530878/530878	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2003:59:59%20GMT	https://www.classcentral.com/contact	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/contact.html	(from https://www.classcentral.com/)
04:00:02	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ececa5-4d7%22	https://www.classcentral.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.classcentral.com/)
04:00:03	496040/496040	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Feb%202023%2004:00:00%20GMT	https://www.classcentral.com/update-item/	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/update-item/index.html	(from https://www.classcentral.com/)
04:00:04	496056/496056	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Feb%202023%2004:00:02%20GMT	https://www.classcentral.com/delete-item/	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/delete-item/index.html	(from https://www.classcentral.com/)
04:00:04	8784/8784	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2018%20Feb%202023%2003:24:52%20GMT	https://www.classcentral.com/webpack/analytics.2edefc668ab4db842c41.js	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/webpack/analytics.2edefc668ab4db842c41.js	(from https://www.classcentral.com/)
04:00:05	496107/496107	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Feb%202023%2004:00:03%20GMT	https://www.classcentral.com/maestro/course-reviews/	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/maestro/course-reviews/index.html	(from https://www.classcentral.com/)
04:00:10	496053/496053	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Feb%202023%2004:00:04%20GMT	https://www.classcentral.com/coordinator/	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/coordinator/index.html	(from https://www.classcentral.com/)
04:00:11	496063/496063	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Feb%202023%2004:00:03%20GMT	https://www.classcentral.com/move-item/	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/move-item/index.html	(from https://www.classcentral.com/)
04:00:12	496031/496031	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Feb%202023%2004:00:06%20GMT	https://www.classcentral.com/s/	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/s/index.html	(from https://www.classcentral.com/)
04:00:17	496052/496052	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Feb%202023%2004:00:10%20GMT	https://www.classcentral.com/enrollee-list/update-item-progress/	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/enrollee-list/update-item-progress/index.html	(from https://www.classcentral.com/)
04:04:18	648705/648705	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2004:04:06%20GMT	https://www.classcentral.com/subject/linear-programming	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/subject/linear-programming	(from https://www.classcentral.com/)
04:04:45	738607/738607	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2004:04:29%20GMT	https://www.classcentral.com/subject/customer-service	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/subject/customer-service	(from https://www.classcentral.com/)
04:05:06	766025/766025	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2004:04:51%20GMT	https://www.classcentral.com/subject/ethics	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/subject/ethics	(from https://www.classcentral.com/)
04:08:42	732903/732903	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2004:08:29%20GMT	https://www.classcentral.com/provider/linkedin-learning	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/provider/linkedin-learning	(from https://www.classcentral.com/)
04:09:36	145073/145073	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:13:47%20GMT	https://www.classcentral.com/report/author/manoel/	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/report/author/manoel/index.html	(from https://www.classcentral.com/)
04:09:37	159868/159868	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:13:56%20GMT	https://www.classcentral.com/report/udemy-by-the-numbers/	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/report/udemy-by-the-numbers/index.html	(from https://www.classcentral.com/)
04:09:40	178640/178640	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:06:01%20GMT	https://www.classcentral.com/report/udemy-top-courses/	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/report/udemy-top-courses/index.html	(from https://www.classcentral.com/)
04:09:44	257848/257848	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:14:13%20GMT	https://www.classcentral.com/report/mooc-based-masters-degree/	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/report/mooc-based-masters-degree/index.html	(from https://www.classcentral.com/)
04:09:54	169338/169338	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:14:29%20GMT	https://www.classcentral.com/report/most-popular-courses-2023/	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/report/most-popular-courses-2023/index.html	(from https://www.classcentral.com/)
04:10:02	43/43	---MC-	200	added ('OK')	image/gif	date:Sun,%2019%20Feb%202023%2004:10:00%20GMT	http://in.getclicky.com/100717250ns.gif	C:/My%20Web%20Sites/httrack%202/in.getclicky.com/100717250ns.gif	(from https://www.classcentral.com/)
04:10:07	50744/50744	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Feb%202023%2008:09:50%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&h=420&ixlib=php-3.3.1&s=c49b305f32e1e971696b9852e3971c6b	C:/My%20Web%20Sites/httrack%202/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social1fe9.jpg	(from https://www.classcentral.com/)
04:10:12	790406/790406	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2004:10:01%20GMT	https://www.classcentral.com/subject/health-care	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/subject/health-care	(from https://www.classcentral.com/)
04:10:16	762954/762954	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2004:10:03%20GMT	https://www.classcentral.com/subject/calculus	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/subject/calculus	(from https://www.classcentral.com/)
